title,publication_year,cited_by_count,journal,type,primary_topic,keywords,doi
Green Engineering of Structured Lignocellulosic Sorbents from Pumpkin Stem Fibres for Oil Adsorption,2026,0,INTERNATIONAL JOURNAL OF ENGINEERING AND MODERN TECHNOLOGY,article,Surface Modification and Superhydrophobicity,"['Sorbent', 'Sorption', 'Fourier transform infrared spectroscopy', 'Adsorption', 'Raw material', 'Cellulose', 'Volume (thermodynamics)']",https://doi.org/10.56201/ijemt.vol.12.no2.2026.pg260.271
Exploring spatial variability in the physical and chemical properties of urban soils using electrical resistivity tomography,2026,0,Frontiers in Soil Science,article,Geophysical and Geoelectrical Methods,"['Electrical resistivity tomography', 'Spatial variability', 'Soil water', 'Electrical resistivity and conductivity', 'Soil texture', 'Sampling (signal processing)', 'Soil organic matter', 'Soil test', 'Organic matter', 'Soil morphology']",https://doi.org/10.3389/fsoil.2026.1924576
Breaking Barriers Toward Practicality: Critical Materials and Strategies for High‐Energy‐Density Aqueous Zinc‐Ion Batteries,2026,0,Small,article,Advanced battery technologies research,"['Electrification', 'Energy density', 'Energy storage', 'Separator (oil production)', 'Electrochemical energy storage', 'Battery (electricity)', 'Aqueous solution', 'Sustainable energy', 'Organic radical battery']",https://doi.org/10.1002/smll.75831
The effect of water regulation on organic acids and rhizosphere microorganisms in the root system of drought-tolerant rice under Cd stress,2026,0,Frontiers in Plant Science,article,Plant responses to water stress,"['Rhizosphere', 'Oryza sativa', 'Malic acid', 'Upland rice', 'Root system', 'Cadmium', 'Cropping system', 'Nutrient']",https://doi.org/10.3389/fpls.2026.1943785
Optimized microwave pretreatment and ultrasound-assisted deep eutectic solvent extraction for efficient valorization of Citrus paradisi peel bioactives,2026,0,Bioresources and Bioprocessing,article,Ionic liquids properties and applications,"['Rutin', 'Gallic acid', 'Extraction (chemistry)', 'Deep eutectic solvent', 'Response surface methodology', 'Citrus paradisi', 'Phytochemical']",https://doi.org/10.1186/s40643-026-01137-x
Microbiome-host communication via vaccenic acid modulates LRH-1/NR5A2 activity and ameliorates metabolic liver disease,2026,0,EMBO Molecular Medicine,article,Drug Transport and Resistance Mechanisms,"['Lipogenesis', 'Vaccenic acid', 'Lipid metabolism', 'Liver X receptor', 'Nuclear receptor', 'Metabolic pathway', 'Regulator', 'Fatty liver', 'Liver disease', 'Metabolism']",https://doi.org/10.1038/s44321-026-00516-3
Engineering the structural and electronic properties of VO2 through Fe substitution for high-performance aqueous zinc-ion batteries,2026,0,Frontiers in Batteries and Electrochemistry,article,Advanced battery technologies research,"['Cathode', 'Aqueous solution', 'Electrochemistry', 'Vanadium', 'Dissolution', 'Doping', 'Transition metal', 'Hydrothermal circulation']",https://doi.org/10.3389/fbael.2026.1923272
Paired Electrochemical Decarboxylative Amidation of α‐Ketoacids With Nitroarenes,2026,0,Chemistry - A European Journal,article,Radical Photochemical Reactions,"['Decarboxylation', 'Electrochemistry', 'Aniline', 'Stoichiometry', 'Redox', 'Anode', 'Reaction conditions', 'Chemical synthesis']",https://doi.org/10.1002/chem.71706
Nanoparticle-enhanced polymeric fluid for sand control in unconsolidated petroleum wells,2026,0,Scientific Reports,article,Drilling and Well Engineering,"['Consolidation (business)', 'Compressive strength', 'Polymer', 'Permeability (electromagnetism)', 'Limiting', 'Curing (chemistry)', 'Pore water pressure']",https://doi.org/10.1038/s41598-026-72001-3
Ultra‐Dark on‐Chip Plasmonic Lattice Lasers for High‐Density Integrations,2026,0,Advanced Optical Materials,article,Plasmonic and Surface Plasmon Research,"['Plasmon', 'Laser', 'Diffraction', 'Scattering', 'Wavelength', 'Nanophotonics', 'Lattice (music)']",https://doi.org/10.1002/adom.71729
Root exudates mediating plant–soil–microbe interactions: regulation of plant growth and environmental remediation,2026,0,Soil Science & Plant Nutrition,article,Allelopathy and phytotoxic interactions,"['Rhizosphere', 'Phytoremediation', 'Environmental remediation', 'Plant growth', 'Allelopathy', 'Pollutant', 'Nutrient', 'Plant root']",https://doi.org/10.1080/00380768.2026.2734468
Performance Research of Double‐Layer Film Structure Coated Red Mud and Its Performance in Asphalt,2026,0,Journal of Applied Polymer Science,article,Bauxite Residue and Utilization,"['Dynamic shear rheometer', 'Asphalt', 'Rheometer', 'Creep', 'Scanning electron microscope', 'Bilayer', 'Coating', 'Rheology']",https://doi.org/10.1002/app.71493
Qualitative and Quantitative Differences between GSR and non-GSR Source Particles Revealed by Raman Spectroscopy,2026,0,WSEAS TRANSACTIONS ON ENVIRONMENT AND DEVELOPMENT,article,Forensic and Genetic Research,"['Raman spectroscopy', 'Analytical Chemistry (journal)', 'Spectroscopy', 'Scanning electron microscope', 'Brake pad', 'Brake', 'Elemental analysis', 'Qualitative analysis']",https://doi.org/10.37394/232015.2026.22.82
Engineering Ultra‐Low Fe or Ni Loading in Polymer Derived SiCN(O) Fibre Mats: Exploring the Performance towards Alkaline OER,2026,0,Advanced Materials Interfaces,article,Electrocatalysts for Energy Conversion,"['Overpotential', 'Catalysis', 'Electrolysis', 'Electrochemistry', 'Dispersion (optics)', 'Metal', 'Polymer', 'Alkaline water electrolysis']",https://doi.org/10.1002/admi.70674
Fiber optic sensing for structural health monitoring in harsh environments advancing degradation physics signal robustness and long term reliability prediction,2026,0,Discover Civil Engineering,article,Advanced Fiber Optic Sensors,"['Structural health monitoring', 'Robustness (evolution)', 'Software deployment', 'Physics of failure', 'Reliability (semiconductor)', 'Aerospace', 'Multiplexing', 'Optical fiber']",https://doi.org/10.1007/s44290-026-00613-9
Storage treatment and diluent cause inconsistencies in commonly used fluorometric microplate enzyme assays conducted with saltmarsh soils,2026,0,Limnology and Oceanography Methods,article,Coastal wetland ecosystem dynamics,"['Distilled water', 'Diluent', 'Replicate', 'Soil water', 'Slurry', 'Dilution', 'Water quality', 'Enzyme']",https://doi.org/10.1002/lom3.70093
Synthesis of Conical SiC Nanowhiskers From Hybrid Electrospun PVA / SiO 2 / MWCNT Nanofibers,2026,0,Journal of Applied Polymer Science,article,Advanced ceramic materials synthesis,"['Nucleation', 'Silicon carbide', 'Carbothermic reaction', 'Nanofiber', 'Microstructure', 'Morphology (biology)', 'Raman spectroscopy', 'Carbon nanotube', 'Scanning electron microscope']",https://doi.org/10.1002/app.71521
Photo-responsive chitosan-based supramolecular hybrid hydrogel with reactive oxygen species scavenging capacity for efficient alleviation of plant salt stress,2026,0,Industrial Crops and Products,article,Polymer-Based Agricultural Enhancements,"['Self-healing hydrogels', 'Reactive oxygen species', 'Supramolecular chemistry', 'Catalase', 'Salt (chemistry)', 'Superoxide dismutase', 'Chitosan', 'Nanomaterials', 'Malondialdehyde']",https://doi.org/10.1016/j.indcrop.2026.124400
"A Comparative Analysis of (Urea–ZnCl2) Deep Eutectic Solvent as a Dual Reaction Medium and Lewis Acid Promoter for the Effective Synthesis of 2,4,5-Trisubstituted Imidazoles Under Conventional and Microwave Irradiation Conditions",2026,0,International Journal of Drug Delivery Technology,article,Multicomponent Synthesis of Heterocycles,"['Benzil', 'Ammonium acetate', 'Yield (engineering)', 'Lewis acids and bases', 'Deep eutectic solvent', 'Eutectic system', 'Solvent', 'Aqueous solution', 'Green chemistry']",https://doi.org/10.25258/ijddt.16.72s.140
Selective oxidation of glucose to gluconic acid by bimetallic catalysts,2026,0,Frontiers in Materials,article,Catalysis for Biomass Conversion,"['Gluconic acid', 'Catalysis', 'Yield (engineering)', 'Bimetallic strip', 'Urea', 'Aqueous solution', 'Leaching (pedology)']",https://doi.org/10.3389/fmats.2026.1943690
"Plastic debris in the Ecuadorian shoreline, coastal and deep-water zones of the eastern Pacific margin",2026,0,Frontiers in Marine Science,article,Microplastics and Plastic Pollution,"['Debris', 'Marine debris', 'Abyssal zone', 'Plastic pollution', 'Seabed', 'Abyssal plain', 'Fishing', 'Continental shelf']",https://doi.org/10.3389/fmars.2026.1870781
Bioremediation of complex chlorinated-solvent impacted groundwater,2026,0,Frontiers in Microbiology,article,Microbial bioremediation and biosurfactants,"['Bioremediation', 'Microcosm', 'Environmental remediation', 'Groundwater', 'Dehalococcoides', 'Reductive dechlorination', 'Groundwater pollution', 'Groundwater remediation', 'Limiting']",https://doi.org/10.3389/fmicb.2026.1845514
Spectral Matching and Spatially Dependent Polarization‐Selective Attenuation in Chiral Au‐SiO 2 ‐Quantum Dot Nanohybrids,2026,0,Small,article,Metamaterials and Metasurfaces Applications,"['Luminescence', 'Plasmon', 'Attenuation', 'Quantum dot', 'Nanostructure', 'Colloid', 'Nanoscopic scale', 'Excitation']",https://doi.org/10.1002/smll.75797
"Efficient Fluoride Removal Using Cerium-Modified Red Mud: Adsorption Mechanism, Interference Resistance and Environmental Safety",2026,0,ACS Omega,article,Fluoride Effects and Removal,"['Adsorption', 'Fluoride', 'Freundlich equation', 'Aqueous solution', 'Langmuir', 'Monolayer', 'X-ray photoelectron spectroscopy']",https://doi.org/10.1021/acsomega.6c05790
Surface Modified Adsorbents for Environmental Remediation: A Review,2026,0,International Journal of Environmental Research,article,Adsorption and biosorption for pollutant removal,"['Adsorption', 'Surface water', 'Water pollution', 'Surface (topology)', 'Water treatment']",https://doi.org/10.1007/s41742-026-01233-y
Enhanced nocturnal N 2 O 5 -ClNO 2 chemistry in Delhi under reduced NO conditions,2026,0,Atmospheric chemistry and physics,article,Atmospheric chemistry and aerosols,"['Nitrate', 'Chlorine', 'Chloride', 'NOx', 'Ozone', 'Atmospheric chemistry', 'Oxidation state', 'Nocturnal']",https://doi.org/10.5194/acp-26-13121-2026
L‐Cysteine and N‐Acetylcysteine Supplementation Improves Clinical Outcome in a Patient With COXPD10,2026,0,American Journal of Medical Genetics Part A,article,RNA modifications and cancer,"['Mitochondrial disease', 'Frameshift mutation', 'Lactic acidosis', 'Transfer RNA', 'Oxidative phosphorylation', 'Mitochondrial myopathy', 'Mitochondrion', 'Cardiomyopathy', 'Metabolic acidosis', 'Mitochondrial DNA']",https://doi.org/10.1002/ajmg.a.70299
Evolutions of Non‐oxygenated Compounds in Sunlit Subarctic Thermokarst Pond Surface Waters,2026,0,Journal of Geophysical Research Atmospheres,article,Climate change and permafrost,"['Thermokarst', 'Subarctic climate', 'Permafrost', 'Dissolved organic carbon', 'Sinkhole', 'Arctic']",https://doi.org/10.1029/2026jd046961
Artificial Intelligence–Assisted Neuroelectrochemical Analysis: From Signal Processing to Methodology Development,2026,0,Journal of Analysis and Testing,article,Electrochemical Analysis and Applications,"['Neurochemical', 'Signal processing', 'SIGNAL (programming language)', 'Calibration', 'Data processing', 'Information processing', 'Data extraction']",https://doi.org/10.1007/s41664-026-00505-y
Recent biological evaluations of novel bioactive pyrazole derivatives developed between 2025 and 2026,2026,0,Discover Chemistry.,article,Synthesis and biological activity,"['Pyrazole', 'Pharmacophore', 'Drug development', 'Drug', 'Drug discovery']",https://doi.org/10.1007/s44371-026-00966-1
"One-, Two-, Three-Step Processing of Waelz Slag via Sequential Hydro- and Pyrometallurgical Treatments for the Iron Recovery Enhancement",2026,0,Journal of Sustainable Metallurgy,article,Metal Extraction and Bioleaching,"['Pyrometallurgy', 'Roasting', 'Leaching (pedology)', 'Hydrometallurgy', 'Pellets', 'Zinc', 'Slag (welding)', 'Ingot']",https://doi.org/10.1007/s40831-026-01658-x
Architectural Tuning of Bio‐Based PDI ‐Trimer Polyurethane Networks via Furan Precursor Design for Optimized Self‐Healing Performance,2026,0,Polymer Engineering and Science,article,Polymer composites and self-healing,"['Furan', 'Polyurethane', 'Thermal stability', 'Ultimate tensile strength', 'Cohesion (chemistry)', 'Thermal', 'Solvent', 'Stiffness', 'Network structure']",https://doi.org/10.1002/pen.70867
Integration of Multifunctional Catalytic Sites for Selective Reductive Amination of Furfural Derivatives: Recent Advances in Strategies for Improved Biomass Valorization,2026,0,Chemistry - A European Journal,article,Asymmetric Hydrogenation and Catalysis,"['Furfural', 'Reductive amination', 'Catalysis', 'Amination', 'Biomass (ecology)', 'Selectivity']",https://doi.org/10.1002/chem.71697
Bioinspired Mechanosensitive Organic Artificial Neuron With Programmable Excitatory and Inhibitory Responses via Nonlinear Mechano‐Electrochemical Coupling,2026,0,Advanced Materials,article,Advanced Sensor and Energy Harvesting Materials,"['Neuromorphic engineering', 'Nonlinear system', 'Artificial muscle', 'Coupling (piping)', 'Memristor', 'Artificial neural network', 'Self-healing hydrogels', 'Oscillation (cell signaling)', 'Excitatory postsynaptic potential', 'Interfacing']",https://doi.org/10.1002/adma.75027
Heat accumulation in solid materials during the combustion of solid fuels,2026,0,Discover Energy,article,Thermochemical Biomass Conversion Processes,"['Combustion', 'Flue gas', 'Combustion chamber', 'Copper in heat exchangers', 'Heat recovery ventilation', 'Stove', 'Thermal energy storage', 'Renewable heat', 'Thermal']",https://doi.org/10.1007/s43937-026-00184-x
"The evolution of anti-visual perception: biomimetics, spectral physics, and artificial intelligence",2026,0,National Science Review,article,Neural Networks and Reservoir Computing,"['Perception', 'Camouflage', 'Multidisciplinary approach', 'Adversarial system', 'CONTEST', 'GRASP', 'Trajectory']",https://doi.org/10.1093/nsr/nwag601
Modeling and measuring graduate students’ generative AI literacy: a study based on Marzano’s taxonomy,2026,0,Frontiers in Psychology,article,Artificial Intelligence in Healthcare and Education,"['Metacognition', 'Generative grammar', 'Confirmatory factor analysis', 'Taxonomy (biology)', 'Grounded theory', 'Cognition', 'Scale (ratio)', 'Reliability (semiconductor)', 'Exploratory factor analysis', 'Normative']",https://doi.org/10.3389/fpsyg.2026.1883978
Flying through the plasmasphere to optimize low-energy ion measurements,2026,0,Annales Geophysicae,article,Astro and Planetary Science,"['Jovian', 'Plasmasphere', 'Spacecraft', 'Ion', 'Range (aeronautics)', 'Plasma', 'Electron', 'Spacecraft charging', 'Particle (ecology)']",https://doi.org/10.5194/angeo-44-937-2026
Charge transfer characteristics in one- and two-photon absorption of dibenzothiophene derivatives: roles of pedal rotation and donor alkyl chain length,2026,0,Physica Scripta,article,Nonlinear Optical Materials Studies,"['Steric effects', 'Intramolecular force', 'Dibenzothiophene', 'Alkyl', 'Moiety', 'Absorption (acoustics)', 'Isomerization', 'Density functional theory']",https://doi.org/10.1088/1402-4896/aea5a9
Mechanically Robust and Underwater‐Stable Hydrogels via Synergistic Molecular Locking and Topological Entanglement,2026,0,Small,article,"Hydrogels: synthesis, properties, applications","['Self-healing hydrogels', 'Dissipation', 'Quantum entanglement', 'Toughness', 'Relaxation (psychology)', 'Polymer', 'Coupling (piping)', 'Slippage', 'Stress (linguistics)']",https://doi.org/10.1002/smll.75812
"Evaluation of Pre-Treatment Effects on Phytochemical Components of “Nyama Asabo” (diplazium esculentum): A Traditional Vegetable in Akwa Ibom State, Nigeria",2026,0,RESEARCH JOURNAL OF FOOD SCIENCE AND QUALITY CONTROL,article,African Botany and Ecology Studies,"['Blanching', 'Phytochemical', 'Sodium bicarbonate', 'Leucine', 'Phytic acid', 'Trypsin inhibitor', 'Sodium', 'Trypsin']",https://doi.org/10.56201/rjfsqc.vol.11.no8.2025.pg133.145
Novel Pyrazole‐4‐Carbaldehyde Derivatives Having Potent COX‐2 Inhibition and Anti‐Tubercular Activity: Microwave‐Assisted Green Synthesis and Molecular Docking,2026,0,Journal of Biochemical and Molecular Toxicology,article,Synthesis and biological activity,"['Docking (animal)', 'In vitro', 'Pyrazole', 'Microwave irradiation', 'Crystal structure', 'Active site', 'Molecular model']",https://doi.org/10.1002/jbt.71113
"Rapid degradation of sulfur-containing pollutants in water using potassium oximate through nucleophilic transformation with kinetic, mechanistic and antimicrobial evaluation",2026,0,Scientific Reports,article,Chemical Synthesis and Reactions,"['Pollutant', 'Degradation (telecommunications)', 'Aqueous solution', 'Environmental remediation', 'Thioether', 'Sulfide', 'Catalysis', 'Antimicrobial']",https://doi.org/10.1038/s41598-026-69296-7
"Physicochemical Properties, Macro and Micro Elements of Soil Samples Collected From Sugarcane Farms in Madagali, Michika and Mubi North Local Government Areas of Adamawa State, Nigeria",2026,0,Scholarly Journal of Science and Technology Research and Development,article,Heavy metals in environment,"['Topsoil', 'Soil water', 'Organic matter', 'Nutrient', 'Soil test', 'Soil pH', 'Cation-exchange capacity', 'Soil fertility']",https://doi.org/10.46654/mf9vt257
Emerging mechanisms in dry eye disease: apoptosis-associated tear MicroRNAs and toxicant-related alterations of the glycocalyx and lipid rafts,2026,0,Frontiers in Ophthalmology,article,Ocular Surface and Contact Lens,"['Glycocalyx', 'Context (archaeology)', 'microRNA', 'Lipid raft', 'Mechanism (biology)', 'Mediator', 'Disease', 'Tears']",https://doi.org/10.3389/fopht.2026.1924390
Characterization and stability assessment of rare earth tailings under dry and paste stacking conditions,2026,0,Acta Geotechnica,article,Tailings Management and Properties,"['Tailings', 'Breakage', 'Particle (ecology)', 'Gangue', 'Solid mechanics', 'Tailings dam', 'Stiffness', 'Characterization (materials science)']",https://doi.org/10.1007/s11440-026-03224-x
Active porous ZIF-8 based hybrid catalysts for solvent-free reactions,2026,0,Frontiers in Chemistry,article,Metal-Organic Frameworks: Synthesis and Applications,"['Catalysis', 'Aniline', 'Composite number', 'Styrene', 'Selectivity', 'Porosity', 'Phosphomolybdic acid', 'Heterogeneous catalysis']",https://doi.org/10.3389/fchem.2026.1894924
Plant-Derived Sustainable Technologies: Integrating Scientometric Analysis of Green Nanoparticle Synthesis with Advances in Natural Dye Extraction,2026,0,Science Engineering and Technology,article,Nanomaterials for catalytic reactions,"['Characterization (materials science)', 'Sustainable development', 'Field (mathematics)', 'Extraction (chemistry)', 'Environmentally friendly']",https://doi.org/10.54327/set2026/v6.i2.379
Dynamic Solvation Structure Boosts Long‐Life and High‐Capacity Aqueous Zn Batteries,2026,0,Advanced Materials,article,Advanced battery technologies research,"['Solvation', 'Anode', 'Electrolyte', 'Cathode', 'Dendrite (mathematics)', 'Electrochemistry', 'Raman spectroscopy', 'Aqueous solution']",https://doi.org/10.1002/adma.75052
Biodegradable and Edible Milli‐Fluidic Logic Circuits,2026,0,Advanced Materials Technologies,article,Advanced Sensor and Energy Harvesting Materials,"['Logic gate', 'Pass transistor logic', 'Logic family', 'Sequential logic', 'AND-OR-Invert', 'Electronic circuit', 'Logic synthesis', 'Logic optimization', 'Resistor–transistor logic']",https://doi.org/10.1002/admt.71326
Unlocking the secrets: An in-depth look at data for simulating lithium-ion battery recycling,2026,0,Computers & Chemical Engineering,article,Extraction and Separation Processes,"['Process (computing)', 'Battery (electricity)', 'Unit (ring theory)', 'Unit operation', 'Process simulation', 'Key (lock)', 'Battery capacity', 'Energy consumption']",https://doi.org/10.1016/j.compchemeng.2026.109903
"Aflatoxin contamination in dried fish: Sources, health impacts, Detection, Detoxification, and Control strategies in developing countries",2026,0,Ceylon Journal of Science,article,Mycotoxins in Agriculture and Food,"['Aflatoxin', 'Contamination', 'Food safety', 'Human health', 'Detoxification (alternative medicine)', 'Food contaminant', 'Bioaccumulation', 'Mycotoxin']",https://doi.org/10.4038/cjs.v55i4.9459
Effects of thiamethoxam on Hypoaspis aculeifer: the role of predator–prey interactions and soil properties,2026,0,Chemosphere,article,Insect and Pesticide Research,"['Thiamethoxam', 'Pesticide', 'Springtail', 'Soil biology', 'Ecotoxicology', 'Mite', 'Neonicotinoid', 'Reproduction']",https://doi.org/10.1016/j.chemosphere.2026.145098
Functional Tuning of Polyacrylonitrile Support Chemistry via Diamine Crosslinking and Hydrolysis for Enhanced Organic Solvent Nanofiltration Performance of Thin‐Film Composite Membranes,2026,0,Journal of Applied Polymer Science,article,Membrane Separation Technologies,"['Polyacrylonitrile', 'Membrane', 'Nanofiltration', 'Diamine', 'Hydrolysis', 'Permeance', 'Interfacial polymerization', 'Cationic polymerization']",https://doi.org/10.1002/app.71427
EXPRESS: A CONFIGURATIONAL THEORY OF BUSINESS COLLECTIVE ACTION,2026,0,Strategic Organization,article,Management and Organizational Studies,"['Consolidation (business)', 'Collective action', 'Competition (biology)', 'Set (abstract data type)', 'Field (mathematics)', 'Organizational theory', 'Conceptual framework', 'Embeddedness']",https://doi.org/10.1177/14761270261491704
A novel approach for evaluating scientific productivity and visibility of FP7 projects: the complementarity of reported publications and funding acknowledgement,2026,0,Revista española de Documentación Científica,article,scientometrics and bibliometrics research,"['Acknowledgement', 'Complementarity (molecular biology)', 'Productivity', 'European Research Area', 'Sustainability', 'European commission', 'Data sharing', 'Open data']",https://doi.org/10.3989/redc.2026.3.1905
Pasture feeding improves the fatty acid composition of lamb muscle,2026,0,Grassland Research,article,Ruminant Nutrition and Digestive Physiology,"['Polyunsaturated fatty acid', 'Pasture', 'Longissimus dorsi', 'Fatty acid', 'Ruminant', 'Red meat', 'Dietary fat']",https://doi.org/10.1002/glr2.70066
Agricultural Pesticide Consumption Patterns from Global Trends to Regional Insights: Evidence from Aydın Province in the Büyük Menderes Basin,2026,0,Turkish Journal of Agriculture - Food Science and Technology,article,Pesticide Exposure and Toxicity,"['Agriculture', 'Consumption (sociology)', 'Pesticide', 'Agricultural productivity', 'Pesticide application', 'Distribution (mathematics)', 'Production (economics)']",https://doi.org/10.24925/turjaf.v14i9.2725-2735.8813
Comparative Analysis of Nutrient Composition in Boiled Tubers of Two Bitter Yam (Discorea dumetorum) Cultivars,2026,0,RESEARCH JOURNAL OF FOOD SCIENCE AND QUALITY CONTROL,article,African Botany and Ecology Studies,"['Cultivar', 'Sugar', 'Nutrient', 'Composition (language)', 'Proximate', 'Moisture', 'Sucrose', 'Manganese', 'Carbohydrate']",https://doi.org/10.56201/rjfsqc.vol.11.no7.2025.pg1.14
"Comparative Effects of Native and Chemically Modified Corn and Rice Starches on the Rheological, Chemical, Color, and Sensory Properties of Cheddar Cheese Sauce",2026,0,Turkish Journal of Agriculture - Food Science and Technology,article,Food composition and properties,"['Rheology', 'Sensory system', 'Lightness', 'Starch', 'Browning', 'Modified starch']",https://doi.org/10.24925/turjaf.v14i9.2636-2644.8429
Multiple‐Active‐Site Additives Enable Synergistic Surface Passivation and Defect Healing for High‐Efficiency and Durable Inverted Perovskite Solar Cells,2026,0,Advanced Functional Materials,article,Perovskite Materials and Applications,"['Passivation', 'Perovskite (structure)', 'Energy conversion efficiency', 'Adsorption', 'Iodide', 'Phase (matter)']",https://doi.org/10.1002/adfm.78472
Status and perspective of neonicotinoid insecticides from ecological toxicity and residue,2026,0,Applied Biological Chemistry,article,Insect and Pesticide Research,"['Clothianidin', 'Neonicotinoid', 'Thiamethoxam', 'Imidacloprid', 'Pesticide', 'Safeguarding', 'Pesticide residue']",https://doi.org/10.1186/s13765-026-01128-8
Investigation of mulberry leaf and olive pomace extracts as green corrosion inhibitors for carbon steel protection: Experimental evaluation and process optimization,2026,0,Scientific Reports,article,Corrosion Behavior and Inhibition,"['Pomace', 'Response surface methodology', 'Corrosion', 'Central composite design', 'Carbon steel', 'Hydrochloric acid', 'Factorial experiment', 'Scanning electron microscope']",https://doi.org/10.1038/s41598-026-71973-6
Steric‐Hindrance Polyoxometalate Li 4 SiW 12 O 40 Enabling Fast Li + Conduction and Ultrastable Li Metal Interface Chemistry for Solid‐State Lithium Metal Batteries,2026,0,Advanced Functional Materials,article,Advanced Battery Materials and Technologies,"['Polyoxometalate', 'Electrolyte', 'Anode', 'Cationic polymerization', 'Lithium (medication)', 'Metal', 'Electrochemistry', 'Composite number', 'Solvation']",https://doi.org/10.1002/adfm.77849
Predictive thermo-mechanical modeling of MXene/SiO 2 hybrid nanocomposites via finite element analysis,2026,0,Journal of Reinforced Plastics and Composites,article,Polymer Nanocomposites and Properties,"['Nanocomposite', 'Interphase', 'Finite element method', 'Thermal expansion', 'Modulus', 'Epoxy', 'Polymer nanocomposite', 'Nanoparticle']",https://doi.org/10.1177/07316844261490354
Scenario-driven optimization of land-use/land-cover conversion pathways to improve ecosystem service performance in the Yellow River Basin,2026,0,Frontiers in Environmental Science,article,Land Use and Ecosystem Services,"['Ecosystem services', 'Midstream', 'Ecosystem', 'Land cover', 'Upstream (networking)', 'Drainage basin', 'Land use', 'Habitat', 'Grassland']",https://doi.org/10.3389/fenvs.2026.1918318
Oxygen‐Scavenging‐Driven Interlayer Engineering for Balancing Linearity and Retention in IGZO Synaptic Memristors,2026,0,Advanced Electronic Materials,article,Advanced Memory and Neural Computing,"['Linearity', 'Memristor', 'Conductance', 'Schottky barrier', 'Sample (material)', 'Retention time', 'Data retention']",https://doi.org/10.1002/aelm.70579
Learning from oxide perovskites for defect engineering in halide perovskite photovoltaics,2026,0,Watt,article,Perovskite Materials and Applications,"['Halide', 'Perovskite (structure)', 'Oxide', 'Valence (chemistry)', 'Photovoltaics', 'Structural stability', 'Ion', 'Lattice (music)']",https://doi.org/10.1007/s44503-026-00017-x
In vitro cytotoxic and pro-apoptotic effects of Lactobacillus rhamnosus GG cell-free supernatant on HT-29 colorectal cancer cells,2026,0,Frontiers in Molecular Biosciences,article,Probiotics and Fermented Foods,"['Lactobacillus rhamnosus', 'Cytotoxicity', 'Apoptosis', 'Flow cytometry', 'MTT assay', 'Cytotoxic T cell', 'In vitro', 'Annexin', 'Colorectal cancer']",https://doi.org/10.3389/fmolb.2026.1868859
Synergistic catalysis of Zn Single Atoms and Co Clusters for Highly Selective CO 2 Electroreduction to CO,2026,0,Advanced Functional Materials,article,CO2 Reduction Techniques and Catalysts,"['Catalysis', 'Cluster (spacecraft)', 'Electrochemistry', 'X-ray absorption spectroscopy', 'Absorption spectroscopy', 'Metal', 'Density functional theory', 'Dispersion (optics)', 'Spectroscopy']",https://doi.org/10.1002/adfm.78529
Improved Hole Transport Layer Surface by Carbazole Ammonium Treatment for 988 nm Near‐Infrared Tin‐Lead Perovskite LEDs,2026,0,Advanced Electronic Materials,article,Perovskite Materials and Applications,"['Light-emitting diode', 'Annealing (glass)', 'Perovskite (structure)', 'Halide', 'Diode', 'Quantum efficiency', 'Crystallization', 'Layer (electronics)', 'Ammonium iodide']",https://doi.org/10.1002/aelm.70566
Solvent polarizability governs Li⁺ transport kinetics for high energy lithium metal batteries,2026,0,Nature Communications,article,Advanced Battery Materials and Technologies,"['Polarizability', 'Kinetics', 'Lithium (medication)', 'Electrolyte', 'Metal', 'Lithium metal', 'Anode']",https://doi.org/10.1038/s41467-026-77667-x
Second Harmonic Generation of Spiropyran–Merocyanine Photoswitches: Insights From Hyper‐Rayleigh Scattering and All‐Atom Dynamic Structure Quantum Mechanical Calculations,2026,0,Chemistry - A European Journal,article,Photochromic and Fluorescence Chemistry,"['Quantum', 'Work (physics)', 'Harmonic', 'Scattering', 'Coupling (piping)', 'Spectroscopy', 'Excitation', 'High harmonic generation', 'Molecular dynamics']",https://doi.org/10.1002/chem.71669
Impact of A‐Site Sr Substitution in LaFeO 3 on Syngas Selectivity During Chemical Looping Dry Reforming of Methane (CL‐DRM),2026,0,Chemistry - A European Journal,article,Chemical Looping and Thermochemical Processes,"['Syngas', 'Carbon dioxide reforming', 'Methane', 'Oxygen', 'Chemical looping combustion', 'Carbon fibers', 'Selectivity', 'Catalysis']",https://doi.org/10.1002/chem.71701
Equine asthma – old disease and new concepts,2026,0,Polish Journal of Veterinary Sciences,article,Veterinary Equine Medical Research,"['Disease', 'Asthma', 'Clinical phenotype', 'Complex disease', 'Precision medicine', 'Mechanism (biology)', 'MEDLINE', 'Respiratory disease']",https://doi.org/10.24425/pjvs.2026.3614
Ester-mediated self-evolving electrolyte enables low-temperature aqueous zinc-ion batteries,2026,0,Nano Research Energy,article,Advanced battery technologies research,"['Electrolyte', 'Formate', 'Aqueous solution', 'Formic acid', 'Dendrite (mathematics)', 'Solvation', 'Methanol']",https://doi.org/10.26599/nre.2026.9120277
